City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Omboue,GA,75.9,overcast clouds,-1.5746,9.2618,Hotel Olako
12,Samarai,PG,79.03,broken clouds,-10.6167,150.6667,Nuli Sapi
14,Bengkulu,ID,75.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Mayumba,GA,76.23,overcast clouds,-3.432,10.6554,LIKWALE LODGE
28,Hit,IQ,87.4,clear sky,33.6416,42.8251,صالون زيرو
32,Atuona,PF,78.84,light rain,-9.8,-139.0333,Villa Enata
51,Acapulco,MX,87.75,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
52,Kapaa,US,82.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Guaratinga,BR,75.87,broken clouds,-16.5667,-39.5667,Hotel Caraíva
64,Cururupu,BR,75.29,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
66,Faanui,PF,78.3,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
67,Biak,ID,77.86,broken clouds,-0.9131,122.8766,Penginapan Kim
73,Meulaboh,ID,76.23,overcast clouds,4.1363,96.1285,Kost Pria
76,Butaritari,KI,83.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
80,Marigot,MF,81.05,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
81,Alenquer,BR,81.45,broken clouds,-1.9417,-54.7383,Josilene Castro
83,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
85,Kieta,PG,82.6,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
86,San Policarpo,PH,81.75,overcast clouds,12.1791,125.5072,JM Lodge
89,Waddan,LY,79.07,clear sky,29.1614,16.139,محل الشريف محمد العايب
93,Kavieng,PG,81.95,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
100,Cayenne,GF,77.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
101,Itoman,JP,78.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
104,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
106,Andros Town,BS,80.08,light rain,24.7,-77.7667,Hanks place
108,Camocim,BR,78.62,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
111,Saint-Georges,GD,79.52,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
112,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
113,Tumpat,MY,78.55,broken clouds,6.1978,102.171,Baan Tanyong B&B
116,Natal,BR,76.39,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
119,Atar,MR,89.71,overcast clouds,20.5169,-13.0499,Oumou Elghoura
123,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
124,Dingle,PH,80.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
134,Russell,US,84.51,broken clouds,32.3502,-85.1999,Macs
135,Anyama,CI,79.61,overcast clouds,5.4946,-4.0518,Hotel la Residence des Hotes
141,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
145,Gigmoto,PH,83.46,overcast clouds,13.7796,124.39,Cj's Travellers Inn
146,Jetafe,PH,81.14,moderate rain,10.1472,124.1539,Prince and Princess Pension House
150,Victoria,HK,81.32,moderate rain,22.2855,114.1577,Mini Hotel Central
159,San Patricio,US,85.17,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
169,Donghai,CN,77.65,overcast clouds,22.9459,115.64200000000001,Huacheng Restaurant
171,Nanakuli,US,89.04,scattered clouds,21.3906,-158.1547,Camp Pālehua
179,Kandrian,PG,79.03,heavy intensity rain,-6.2167,149.55,Kandrian Station
180,Sabratah,LY,75.69,broken clouds,32.7933,12.4885,تقاطع اثار صبراتة
196,Carutapera,BR,76.28,few clouds,-1.195,-46.02,Lidera
198,Ewa Beach,US,89.02,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
199,Padang,ID,77.04,broken clouds,-0.9492,100.3543,Mercure Padang
209,Lincoln,US,76.44,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
212,Tabuk,PH,78.76,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
214,Bam,IR,85.69,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
215,Sakakah,SA,85.95,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
217,Bozeman,US,77.11,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
223,Buala,SB,82.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
229,Quixeramobim,BR,76.77,few clouds,-5.1992,-39.2928,Hotel Veredas do Sertão
238,Acajutla,SV,84.24,scattered clouds,13.5928,-89.8275,asi es
239,Puerto Escondido,MX,86.09,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
240,Kuching,MY,77.22,light rain,1.55,110.3333,The Ranee Boutique Suites
250,Guantanamo,CU,83.77,broken clouds,20.1444,-75.2092,Hotel Guantánamo
254,Letpadan,MM,79.83,overcast clouds,17.7833,95.75,Ko Arkar Lin
256,Vaitape,PF,78.24,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
262,Wewak,PG,78.08,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
266,Pandan,PH,83.37,overcast clouds,14.0453,124.1694,Bonifacio Lodge
268,Morehead,US,76.71,clear sky,37.2711,-87.1764,CCI Express Inn
271,Cockburn Town,TC,79.88,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
274,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
276,Kirakira,SB,80.67,overcast clouds,-10.4544,161.9205,SanBiz Lodge
287,Itarema,BR,79.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
288,Fatehpur,IN,89.71,scattered clouds,25.9333,80.8,Hotel Bombay Lodge
290,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
291,Ternate,ID,82.85,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
295,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
300,Bernal,PE,75.42,broken clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
305,Yorosso,ML,81.72,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
309,Sola,VU,79.59,overcast clouds,-13.8833,167.55,Leumerus Bungalows
315,Lorengau,PG,81.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
320,Fort Nelson,CA,77.0,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
321,Mulbagal,IN,75.76,overcast clouds,13.1667,78.4,HOTEL SREE SARAVANA BHAVAN
323,Almeirim,BR,75.72,scattered clouds,-1.5233,-52.5817,Ricácio Hotel
326,Amuntai,ID,75.06,scattered clouds,-2.4177,115.2494,Hotel Balqis
328,Salalah,OM,80.17,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
329,Bahia Honda,CU,82.36,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
331,Tarabha,IN,88.79,scattered clouds,20.7333,83.65,The spicy house
338,Price,US,80.11,few clouds,39.5994,-110.8107,National 9 - Price River Inn
339,Tay Ninh,VN,81.63,light rain,11.3,106.1,Thanh Tuyền Hotel
344,Hambantota,LK,79.68,overcast clouds,6.1241,81.1185,Bungalow 63
353,Meteti,PA,77.97,overcast clouds,8.4983,-77.9786,Txai Mauá
354,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
357,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
361,Mandera,KE,77.99,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
363,Bandarbeyla,SO,79.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
367,Wanning,CN,83.46,overcast clouds,18.8003,110.3967,Paradise Hotel
372,Lompoc,US,80.74,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
378,Ranot,TH,81.52,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
381,Kathu,TH,84.69,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
388,Sarai Naurang,PK,83.84,clear sky,32.8259,70.7814,Taj Mahal hotel
389,Nizwa,OM,86.92,overcast clouds,22.9333,57.5333,Orient Apartments
390,Cobija,BO,78.98,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
391,Teknaf,BD,80.24,overcast clouds,20.8624,92.3058,Forestry Guesthouse
393,Batticaloa,LK,79.59,overcast clouds,7.7102,81.6924,Grand Star Guest House
396,Majene,ID,78.12,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
397,Petatlan,MX,89.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
399,Great Falls,US,77.67,broken clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
403,Santa Maria Da Boa Vista,BR,79.02,overcast clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
404,Sarakhs,IR,80.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
405,Namatanai,PG,81.91,light rain,-3.6667,152.4333,Namatanai Hotel
407,Basco,PH,83.97,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
408,Skeldon,GY,76.53,light rain,5.8833,-57.1333,Rits Hotel
409,Porto Novo,BJ,80.94,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
412,Loandjili,CG,76.66,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
416,Harper,LR,76.48,light rain,4.375,-7.7169,Screensaver
419,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
421,Mughal Sarai,IN,88.97,scattered clouds,25.3,83.1167,Hotel Sunshine Inn
426,Turayf,SA,78.4,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
430,Alta Floresta,BR,75.36,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
432,Feni,BD,78.13,moderate rain,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
435,Marsh Harbour,BS,78.89,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
439,Portland,US,89.62,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
442,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
443,Vanimo,PG,79.48,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
450,Frontera,MX,87.44,overcast clouds,26.9333,-101.45,Casagrande Hotel
454,Jamkhed,IN,78.39,scattered clouds,18.7362,75.3121,Beleshwar coffee center
462,Axim,GH,78.19,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
464,Hirara,JP,79.93,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
468,Puerto Carreno,CO,80.55,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
469,Balad,IQ,87.17,clear sky,34.0164,44.1453,رضاوي زنوبة
477,Pishva,IR,81.61,clear sky,35.308,51.7267,شهرک خورشید هشتم
487,Bubaque,GW,78.35,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
489,Borbon,PH,80.49,overcast clouds,10.838,124.0297,Pepe Catubig Res
496,Bac Lieu,VN,81.16,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
497,Pedernales,DO,82.38,overcast clouds,18.0384,-71.744,Hotel Costa Marina
502,Palu,ID,78.03,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
503,Samarkand,UZ,80.02,scattered clouds,39.6542,66.9597,Ideal Hotel
504,Port-Gentil,GA,79.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
512,Ahvaz,IR,89.55,clear sky,31.3203,48.6693,tashrifat tourism travel agency
514,Jaisalmer,IN,81.73,clear sky,26.9147,70.9181,Hotel Fifu
515,Mahibadhoo,MV,83.37,few clouds,3.7833,72.9667,Omadhoo Inn
517,Warner Robins,US,83.73,few clouds,32.621,-83.5999,Super 8 by Wyndham Warner Robins
521,Honiara,SB,83.44,overcast clouds,-9.4333,159.95,Heritage Park Hotel
523,Magnolia,US,80.82,overcast clouds,33.2671,-93.2393,Budget Inn
524,Buraydah,SA,87.89,clear sky,26.326,43.975,فندق راحة السلام
529,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
533,San-Pedro,CI,77.09,overcast clouds,4.7485,-6.6363,Hotel Maria
534,Lahan,NP,76.73,clear sky,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
541,Kilindoni,TZ,77.68,light rain,-7.9139,39.6668,Bustani B&B
542,North Branch,US,77.86,few clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
548,Morgan City,US,86.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
552,Ewo,CG,77.13,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
555,San Matias,BO,75.76,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
556,Bonthe,SL,77.94,light rain,7.5264,-12.505,Bonthe Holiday Village
557,Hope,US,78.85,overcast clouds,33.6671,-93.5916,Best Western Hope
561,Rincon,US,82.58,broken clouds,32.296,-81.2354,Days Inn Rincon
563,Beruwala,LK,80.08,overcast clouds,6.4788,79.9828,The Palms Hotel
565,Tomatlan,MX,89.83,overcast clouds,19.9333,-105.25,Norma franco
575,Tarakan,ID,79.48,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
579,Bata,GQ,78.58,light rain,1.8639,9.7658,Hotel Elik Melen
586,Khuzdar,PK,78.69,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
587,Chisec,GT,84.43,scattered clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
594,Paracuru,BR,81.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
598,Gazojak,TM,84.47,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
599,Alugan,PH,81.36,overcast clouds,12.2188,125.4808,JM Lodge
603,Acarau,BR,79.05,scattered clouds,-2.8856,-40.12,castelo pizzaria
604,Cedar City,US,82.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
608,Kavaratti,IN,83.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
613,Manaure,CO,85.39,overcast clouds,11.7751,-72.4445,Hotel Palaaima
615,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
616,Ocampo,MX,77.16,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
621,Bani,DO,78.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
622,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
627,Bacalar,MX,87.01,few clouds,18.6667,-88.3833,Hotel Laguna Bacalar
628,Hun,LY,80.31,clear sky,29.1268,15.9477,Alrwasi Hotel
629,Madisonville,US,76.82,overcast clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
630,Santa Isabel Do Rio Negro,BR,78.46,broken clouds,-0.4139,-65.0192,Hotel GSA
633,Khuldabad,IN,76.95,overcast clouds,20.05,75.1833,Capital O 29643 Etranger Resort
638,Roswell,US,79.05,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
641,Sabha,LY,83.66,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
642,Veracruz,MX,83.88,broken clouds,19.3333,-96.6667,El Carrizal
649,Kalmunai,LK,80.06,overcast clouds,7.4167,81.8167,VS Villa
654,Muli,MV,83.5,broken clouds,2.9167,73.5667,Medhufushi Island Resort
659,Dwarka,IN,82.92,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
661,North Bend,US,89.94,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
664,Karatsu,JP,78.17,broken clouds,33.4425,129.9697,Niji no Matsubara Hotel
667,Saint Anthony,US,77.72,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
668,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
669,Abnub,EG,88.83,clear sky,27.2696,31.1511,Romany Adly Gad
677,Chuncheng,CN,87.03,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
678,Irricana,CA,80.44,scattered clouds,51.3237,-113.6048,Irricana Campground
683,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
