City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Omboue,GA,-1.5746,9.2618,75.9,92,99,5.79,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,35.11,64,100,4.74,overcast clouds
2,Ribeira Grande,PT,38.5167,-28.7,61.03,73,56,19.08,broken clouds
3,Hermanus,ZA,-34.4187,19.2345,55.9,81,25,4.92,light rain
4,Severo-Kurilsk,RU,50.6789,156.125,37.53,98,100,21.41,light rain
5,Puerto Ayora,EC,-0.7393,-90.3518,74.55,90,40,11.01,scattered clouds
6,Necochea,AR,-38.5473,-58.7368,52.03,71,83,5.99,moderate rain
7,Ayolas,PY,-27.4,-56.9,53.6,61,0,5.32,clear sky
8,Luderitz,NA,-26.6481,15.1594,57.65,73,0,23.31,clear sky
9,Coihaique,CL,-45.5752,-72.0662,47.64,97,85,7.67,overcast clouds
10,Ahipara,NZ,-35.1667,173.1667,62.51,66,10,14.07,clear sky
11,Dibombari,CM,4.1787,9.6561,75.24,95,100,1.05,overcast clouds
12,Samarai,PG,-10.6167,150.6667,79.03,74,72,18.54,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,73.99,66,29,18.01,scattered clouds
14,Bengkulu,ID,-3.8004,102.2655,75.24,92,100,3.78,overcast clouds
15,Hobart,AU,-42.8794,147.3294,51.8,62,0,8.05,clear sky
16,Tiznit,MA,29.5833,-9.5,64.06,74,4,1.83,clear sky
17,Mayumba,GA,-3.432,10.6554,76.23,92,85,3.76,overcast clouds
18,Cabo San Lucas,MX,22.8909,-109.9124,98.51,53,0,10.71,clear sky
19,Norman Wells,CA,65.282,-126.8329,64.42,48,64,1.63,broken clouds
20,Yumen,CN,40.2833,97.2,56.93,19,10,6.69,clear sky
21,Tadine,NC,-21.55,167.8833,71.44,57,79,16.11,broken clouds
22,Kochetok,UA,49.8801,36.7372,50.04,82,100,10.78,light rain
23,Rawson,AR,-43.3002,-65.1023,49.57,92,92,6.93,overcast clouds
24,Bethel,US,41.3712,-73.414,68.49,70,43,3.06,scattered clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,71.31,94,100,8.66,light rain
26,Vostok,RU,46.4856,135.8833,57.06,56,45,2.55,scattered clouds
27,Cape Town,ZA,-33.9258,18.4232,55.0,94,20,3.44,fog
28,Hit,IQ,33.6416,42.8251,87.4,14,0,4.88,clear sky
29,Mahebourg,MU,-20.4081,57.7,70.25,75,3,7.4,clear sky
30,Lalibela,ET,12.0333,39.0333,62.53,34,44,6.71,scattered clouds
